test_case_no,Auto_Drift_Estimate,a0,a1,a2,a3,a4,a5,a6,t0,actual_frequency,present_temperature,f0,temp0,executed_requirements,executed_requirement_texts,theoretical_frequency,delfbyf0,deltaf,new_time_period,delta_time_period
1,enabled,1,2,3,0,0,1,0,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
2,enabled,1,2,3,0,1,1,2,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
3,not_enabled,2,2,3,0,1,1,0,90,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,4279949.0,34239592000.0,2.920594866762462e-11,-89.9999999999708
4,not_enabled,2,2,5,0,1,1,2,90,7000,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
5,enabled,1,2,3,0,0,2,2,90,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
6,not_enabled,2,2,5,0,0,1,0,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,4086350.0,32690800000.0,3.058963853080658e-11,-89.9999999999694
7,enabled,2,2,3,0,1,2,2,50,7000,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179896292.0,1439170336000.0,6.948447792640174e-13,-49.999999999999304
8,enabled,2,2,5,0,1,1,0,90,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,4280831.0,34246648000.0,2.919993122832197e-11,-89.9999999999708
9,not_enabled,1,2,5,0,0,1,0,50,7009,-10,8000.0,25,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25,8000.0,,,,
10,not_enabled,2,2,5,0,0,2,2,50,7009,46,8000.0,25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0,8000.0,179702693.0,1437621544000.0,6.95593355990534e-13,-49.999999999999304
